date,week,month,quarter,region,country,channel,category,subcategory,sku,promo_flag,units_sold,net_sales,discount_rate,marketing_spend,inventory_level,forecast_demand,supply_lead_time_days,fulfillment_rate,backorder_rate,campaign_name,marketing_roi
2024-01-03,1,1,Q1,APAC,Japan,Retail,Apparel,T-Shirts,APP-TSH-0002,None,75,2493.75,0.05,734.63,27,80,14,0.93,0.64,Spring Refresh,2.40
2024-01-03,1,1,Q1,APAC,India,Retail,Footwear,Running,FOO-RUN-0002,Clearance,62,3933.74,0.30,1079.50,64,67,9,0.98,0.00,Run Faster,2.64
2024-01-03,1,1,Q1,APAC,India,Retail,Accessories,Caps,ACC-CAP-0002,Flash,40,1288.55,0.28,505.47,80,49,12,0.92,0.00,Style Up,1.55
2024-01-03,1,1,Q1,LATAM,Mexico,Marketplace,Apparel,T-Shirts,APP-TSH-0002,Flash,46,1368.67,0.15,1115.19,77,51,12,0.92,0.00,Back-to-School,0.23
2024-01-03,1,1,Q1,LATAM,Brazil,Marketplace,Footwear,Sneakers,FOO-SNE-0002,None,94,8037.00,0.05,450.29,56,105,15,0.98,0.40,Run Faster,16.85
2024-01-03,1,1,Q1,LATAM,Mexico,Retail,Accessories,Backpacks,ACC-BAC-0002,None,19,812.25,0.05,272.74,71,24,15,0.94,0.00,Style Up,1.98
2024-01-04,1,1,Q1,North America,USA,Marketplace,Apparel,T-Shirts,APP-TSH-0003,Flash,49,1524.47,0.11,613.50,76,54,11,0.93,0.00,Spring Refresh,1.49
2024-01-04,1,1,Q1,North America,USA,Outlet,Footwear,Sandals,FOO-SAN-0003,Clearance,107,6500.14,0.33,687.41,54,121,17,0.96,0.49,City Walks,8.46
2024-01-04,1,1,Q1,North America,Canada,Retail,Accessories,Caps,ACC-CAP-0003,None,84,3591.00,0.05,938.06,61,89,14,0.94,0.27,Everyday Essentials,2.83
2024-01-04,1,1,Q1,Europe,UK,Outlet,Apparel,Hoodies,APP-HOO-0003,None,63,2094.75,0.05,619.46,60,71,20,0.97,0.05,Back-to-School,2.38
2024-01-04,1,1,Q1,Europe,UK,Online,Footwear,Sneakers,FOO-SNE-0003,None,24,2052.00,0.05,1011.16,68,29,14,0.92,0.00,Run Faster,1.03
2024-01-04,1,1,Q1,Europe,Spain,Online,Accessories,Caps,ACC-CAP-0003,None,78,3334.50,0.05,1043.73,51,83,11,0.96,0.35,Travel Light,2.19
2024-01-04,1,1,Q1,APAC,India,Marketplace,Apparel,Hoodies,APP-HOO-0003,None,92,3059.00,0.05,1054.86,88,111,18,0.92,0.04,Back-to-School,1.90
2024-01-04,1,1,Q1,APAC,Singapore,Marketplace,Footwear,Sandals,FOO-SAN-0003,None,28,2394.00,0.05,634.72,67,33,15,0.99,0.00,Trail Master,2.77
2024-01-04,1,1,Q1,APAC,Australia,Marketplace,Accessories,Watches,ACC-WAT-0003,BOGO,38,1221.09,0.29,653.66,40,43,13,0.97,0.00,Style Up,0.87
2024-01-04,1,1,Q1,LATAM,Brazil,Retail,Apparel,Hoodies,APP-HOO-0003,None,88,2926.00,0.05,457.16,45,93,7,0.91,0.49,Spring Refresh,5.40
2024-01-04,1,1,Q1,LATAM,Brazil,Retail,Footwear,Running,FOO-RUN-0003,Clearance,70,5028.03,0.20,724.32,38,75,18,0.94,0.46,City Walks,5.94
2024-01-04,1,1,Q1,LATAM,Chile,Online,Accessories,Watches,ACC-WAT-0003,Flash,65,2283.71,0.22,1140.45,49,70,18,0.95,0.25,Style Up,1.00
2024-01-05,1,1,Q1,North America,Canada,Retail,Apparel,Jackets,APP-JAC-0004,None,78,2593.50,0.05,665.07,67,83,17,0.96,0.14,Summer Splash,2.90
2024-01-05,1,1,Q1,North America,USA,Online,Footwear,Sneakers,FOO-SNE-0004,Flash,37,2461.91,0.26,301.13,28,42,13,0.93,0.24,Run Faster,7.18
2024-01-05,1,1,Q1,North America,Canada,Outlet,Accessories,Backpacks,ACC-BAC-0004,None,57,2436.75,0.05,942.09,46,67,7,0.94,0.19,Style Up,1.59
2024-01-05,1,1,Q1,Europe,UK,Online,Apparel,Jackets,APP-JAC-0004,Loyalty,59,1522.86,0.26,972.48,75,66,5,0.98,0.00,Spring Refresh,0.57
2024-01-05,1,1,Q1,Europe,Spain,Retail,Footwear,Sneakers,FOO-SNE-0004,None,109,9319.50,0.05,278.97,74,134,13,0.97,0.32,Run Faster,32.41
2024-01-05,1,1,Q1,Europe,France,Online,Accessories,Watches,ACC-WAT-0004,BOGO,73,2867.72,0.13,186.71,68,78,17,0.94,0.07,Style Up,14.36
2024-01-05,1,1,Q1,APAC,Singapore,Online,Apparel,T-Shirts,APP-TSH-0004,None,34,1130.50,0.05,885.08,68,39,8,0.97,0.00,Back-to-School,0.28
2024-01-05,1,1,Q1,APAC,Japan,Outlet,Footwear,Sneakers,FOO-SNE-0004,None,29,2479.50,0.05,686.20,79,34,18,0.97,0.00,Run Faster,2.61
2024-01-05,1,1,Q1,APAC,Australia,Outlet,Accessories,Backpacks,ACC-BAC-0004,Clearance,137,5312.70,0.14,343.18,72,148,13,0.95,0.47,Style Up,14.48
2024-01-05,1,1,Q1,LATAM,Chile,Marketplace,Apparel,Hoodies,APP-HOO-0004,None,98,3258.50,0.05,439.13,92,117,7,0.93,0.06,Summer Splash,6.42
2024-01-05,1,1,Q1,LATAM,Chile,Marketplace,Footwear,Sneakers,FOO-SNE-0004,None,70,5985.00,0.05,509.85,45,75,10,0.94,0.36,Trail Master,10.74
2024-01-05,1,1,Q1,LATAM,Chile,Outlet,Accessories,Backpacks,ACC-BAC-0004,None,113,4830.75,0.05,1075.31,63,123,11,0.91,0.44,Style Up,3.49
2024-01-06,1,1,Q1,North America,USA,Marketplace,Apparel,Hoodies,APP-HOO-0005,None,112,3724.00,0.05,655.14,64,128,5,0.91,0.43,Spring Refresh,4.68
2024-01-06,1,1,Q1,North America,Canada,Retail,Footwear,Running,FOO-RUN-0005,None,83,7096.50,0.05,735.61,72,88,15,0.93,0.13,Trail Master,8.65
2024-01-06,1,1,Q1,North America,USA,Outlet,Accessories,Backpacks,ACC-BAC-0005,None,116,4959.00,0.05,360.29,59,121,10,0.92,0.49,Style Up,12.76
2024-01-06,1,1,Q1,Europe,UK,Outlet,Apparel,Hoodies,APP-HOO-0005,Clearance,39,944.37,0.31,468.10,44,44,5,0.96,0.00,Spring Refresh,1.02
2024-01-06,1,1,Q1,Europe,UK,Online,Footwear,Running,FOO-RUN-0005,Loyalty,136,8127.09,0.34,823.38,48,158,5,0.95,0.65,Trail Master,8.87
2024-01-06,1,1,Q1,Europe,Germany,Marketplace,Accessories,Backpacks,ACC-BAC-0005,None,54,2308.50,0.05,1138.71,77,59,7,0.94,0.00,Everyday Essentials,1.03
2024-01-06,1,1,Q1,APAC,Japan,Online,Apparel,Jackets,APP-JAC-0005,None,31,1030.75,0.05,1193.67,73,36,18,0.95,0.00,Back-to-School,-0.14
2024-01-06,1,1,Q1,APAC,Australia,Marketplace,Footwear,Sneakers,FOO-SNE-0005,None,60,5130.00,0.05,1054.57,53,74,6,0.95,0.12,City Walks,3.87
2024-01-06,1,1,Q1,APAC,Japan,Retail,Accessories,Caps,ACC-CAP-0005,Clearance,129,5106.68,0.12,409.46,42,141,5,0.94,0.67,Style Up,11.47
2024-01-06,1,1,Q1,LATAM,Brazil,Marketplace,Apparel,Jackets,APP-JAC-0005,None,58,1928.50,0.05,895.23,57,66,7,0.96,0.02,Summer Splash,1.15
2024-01-06,1,1,Q1,LATAM,Chile,Retail,Footwear,Sandals,FOO-SAN-0005,None,49,4189.50,0.05,833.54,82,59,9,0.91,0.00,Run Faster,4.03
2024-01-06,1,1,Q1,LATAM,Mexico,Outlet,Accessories,Backpacks,ACC-BAC-0005,None,112,4788.00,0.05,476.25,42,117,20,0.94,0.62,Style Up,9.05
2024-01-07,1,1,Q1,North America,Canada,Marketplace,Apparel,T-Shirts,APP-TSH-0006,Clearance,22,675.42,0.12,1160.39,61,27,5,0.99,0.00,Back-to-School,-0.42
2024-01-07,1,1,Q1,North America,USA,Online,Footwear,Running,FOO-RUN-0006,BOGO,76,5268.57,0.23,619.92,62,81,18,0.96,0.18,Trail Master,7.50
2024-01-07,1,1,Q1,North America,Canada,Marketplace,Accessories,Caps,ACC-CAP-0006,None,48,2052.00,0.05,856.94,50,57,18,0.96,0.00,Travel Light,1.40
2024-01-07,1,1,Q1,Europe,Germany,Marketplace,Apparel,Jackets,APP-JAC-0006,BOGO,74,2273.98,0.12,422.49,74,79,17,0.98,0.00,Spring Refresh,4.38
2024-01-07,1,1,Q1,Europe,France,Marketplace,Footwear,Sandals,FOO-SAN-0006,None,68,5814.00,0.05,536.25,71,79,19,0.97,0.00,Run Faster,9.84
2024-01-07,1,1,Q1,Europe,Spain,Retail,Accessories,Backpacks,ACC-BAC-0006,Flash,104,3644.89,0.22,190.02,83,116,12,0.96,0.20,Travel Light,18.18
2024-01-07,1,1,Q1,APAC,India,Online,Apparel,Jackets,APP-JAC-0006,None,38,1263.50,0.05,1191.95,57,46,8,0.96,0.00,Spring Refresh,0.06
2024-01-07,1,1,Q1,APAC,Japan,Outlet,Footwear,Running,FOO-RUN-0006,None,58,4959.00,0.05,1028.11,49,72,19,0.95,0.15,Trail Master,3.82
2024-01-07,1,1,Q1,APAC,Japan,Retail,Accessories,Caps,ACC-CAP-0006,Flash,113,3572.20,0.30,591.54,77,138,13,0.97,0.32,Travel Light,5.04
2024-01-07,1,1,Q1,LATAM,Chile,Outlet,Apparel,Jackets,APP-JAC-0006,BOGO,99,2694.35,0.22,314.54,50,107,15,0.95,0.49,Back-to-School,7.57
2024-01-07,1,1,Q1,LATAM,Brazil,Marketplace,Footwear,Running,FOO-RUN-0006,Flash,104,7865.20,0.16,558.29,66,124,6,0.93,0.36,Trail Master,13.09
2024-01-07,1,1,Q1,LATAM,Chile,Marketplace,Accessories,Watches,ACC-WAT-0006,None,82,3505.50,0.05,1180.05,28,88,9,0.94,0.66,Style Up,1.97
2024-01-08,2,1,Q1,North America,Canada,Online,Apparel,Hoodies,APP-HOO-0007,Flash,30,806.94,0.23,635.21,51,35,9,0.91,0.00,Summer Splash,0.27
2024-01-08,2,1,Q1,North America,Canada,Marketplace,Footwear,Running,FOO-RUN-0007,Clearance,101,6228.14,0.31,555.21,70,106,20,0.98,0.31,Run Faster,10.22
2024-01-08,2,1,Q1,North America,Canada,Online,Accessories,Watches,ACC-WAT-0007,None,39,1667.25,0.05,936.64,31,44,8,0.94,0.20,Style Up,0.78
2024-01-08,2,1,Q1,Europe,Germany,Online,Apparel,Hoodies,APP-HOO-0007,None,45,1496.25,0.05,532.80,40,50,18,0.95,0.11,Spring Refresh,1.81
2024-01-08,2,1,Q1,Europe,Spain,Retail,Footwear,Sneakers,FOO-SNE-0007,None,79,6754.50,0.05,870.46,62,84,9,0.92,0.21,City Walks,6.76
2024-01-08,2,1,Q1,Europe,Germany,Marketplace,Accessories,Backpacks,ACC-BAC-0007,None,63,2693.25,0.05,1097.26,38,71,7,0.94,0.40,Travel Light,1.46
2024-01-08,2,1,Q1,APAC,Australia,Outlet,Apparel,Jackets,APP-JAC-0007,Clearance,103,3019.10,0.16,1039.12,49,108,20,0.91,0.52,Summer Splash,1.91
2024-01-08,2,1,Q1,APAC,Japan,Outlet,Footwear,Sandals,FOO-SAN-0007,None,17,1453.50,0.05,1177.06,42,22,5,0.95,0.00,City Walks,0.23
2024-01-08,2,1,Q1,APAC,Australia,Online,Accessories,Watches,ACC-WAT-0007,Flash,53,1683.96,0.29,399.32,43,62,11,0.96,0.19,Style Up,3.22
2024-01-08,2,1,Q1,LATAM,Chile,Retail,Apparel,Jackets,APP-JAC-0007,Clearance,97,3022.04,0.11,980.15,48,102,9,0.91,0.51,Summer Splash,2.08
2024-01-08,2,1,Q1,LATAM,Brazil,Marketplace,Footwear,Running,FOO-RUN-0007,None,96,8208.00,0.05,720.98,76,119,13,0.97,0.21,Trail Master,10.38
2024-01-08,2,1,Q1,LATAM,Mexico,Outlet,Accessories,Backpacks,ACC-BAC-0007,Clearance,32,1127.40,0.22,238.31,39,37,17,0.99,0.00,Style Up,3.73
2024-01-09,2,1,Q1,North America,USA,Online,Apparel,Hoodies,APP-HOO-0008,BOGO,50,1340.25,0.23,632.98,69,56,13,0.95,0.00,Back-to-School,1.12
2024-01-09,2,1,Q1,North America,Canada,Online,Footwear,Running,FOO-RUN-0008,Clearance,22,1475.32,0.25,1140.90,64,27,12,0.96,0.00,City Walks,0.29
2024-01-09,2,1,Q1,North America,USA,Outlet,Accessories,Backpacks,ACC-BAC-0008,Clearance,35,1399.64,0.11,198.70,35,43,8,0.92,0.00,Style Up,6.04
2024-01-09,2,1,Q1,Europe,Spain,Marketplace,Apparel,T-Shirts,APP-TSH-0008,None,76,2527.00,0.05,931.96,51,81,8,0.97,0.33,Back-to-School,1.71
2024-01-09,2,1,Q1,Europe,UK,Outlet,Footwear,Running,FOO-RUN-0008,None,37,3163.50,0.05,621.12,82,45,16,0.91,0.00,City Walks,4.09
2024-01-09,2,1,Q1,Europe,UK,Outlet,Accessories,Backpacks,ACC-BAC-0008,None,35,1496.25,0.05,1166.94,80,43,19,0.91,0.00,Everyday Essentials,0.28
2024-01-09,2,1,Q1,APAC,Japan,Online,Apparel,Jackets,APP-JAC-0008,None,40,1330.00,0.05,1188.37,40,47,7,0.97,0.00,Back-to-School,0.12
2024-01-09,2,1,Q1,APAC,Singapore,Retail,Footwear,Sneakers,FOO-SNE-0008,BOGO,59,3751.03,0.29,980.19,43,65,9,0.99,0.27,City Walks,2.83
2024-01-09,2,1,Q1,APAC,India,Retail,Accessories,Backpacks,ACC-BAC-0008,None,28,1197.00,0.05,175.45,40,33,15,0.90,0.00,Travel Light,5.82
2024-01-09,2,1,Q1,LATAM,Chile,Retail,Apparel,T-Shirts,APP-TSH-0008,Clearance,32,799.21,0.29,655.30,57,37,8,0.94,0.00,Spring Refresh,0.22
2024-01-09,2,1,Q1,LATAM,Chile,Online,Footwear,Sandals,FOO-SAN-0008,Clearance,82,6085.49,0.18,829.07,55,87,17,0.94,0.33,Run Faster,6.34
2024-01-09,2,1,Q1,LATAM,Brazil,Marketplace,Accessories,Backpacks,ACC-BAC-0008,None,48,2052.00,0.05,792.63,42,53,15,0.93,0.12,Style Up,1.59
2024-01-10,2,1,Q1,North America,Canada,Outlet,Apparel,Jackets,APP-JAC-0009,None,25,831.25,0.05,984.82,66,30,11,0.94,0.00,Spring Refresh,-0.16
2024-01-10,2,1,Q1,North America,Canada,Outlet,Footwear,Running,FOO-RUN-0009,BOGO,70,4520.86,0.28,485.05,41,75,16,0.99,0.41,City Walks,8.32
2024-01-10,2,1,Q1,North America,USA,Online,Accessories,Backpacks,ACC-BAC-0009,None,24,1026.00,0.05,609.15,48,29,9,0.95,0.00,Style Up,0.68
2024-01-10,2,1,Q1,Europe,Spain,Outlet,Apparel,Jackets,APP-JAC-0009,Clearance,62,1479.07,0.32,1138.78,83,67,6,0.99,0.00,Back-to-School,0.30
2024-01-10,2,1,Q1,Europe,France,Outlet,Footwear,Running,FOO-RUN-0009,None,31,2650.50,0.05,843.01,31,36,16,0.98,0.00,Trail Master,2.14
2024-01-10,2,1,Q1,Europe,Spain,Outlet,Accessories,Caps,ACC-CAP-0009,None,72,3078.00,0.05,1173.53,72,85,5,0.95,0.00,Style Up,1.62
2024-01-10,2,1,Q1,APAC,Japan,Outlet,Apparel,Jackets,APP-JAC-0009,None,87,2892.75,0.05,952.91,61,106,5,0.92,0.30,Spring Refresh,2.04
2024-01-10,2,1,Q1,APAC,India,Marketplace,Footwear,Sandals,FOO-SAN-0009,None,24,2052.00,0.05,935.96,51,29,19,0.93,0.00,Trail Master,1.19
2024-01-10,2,1,Q1,APAC,India,Outlet,Accessories,Backpacks,ACC-BAC-0009,BOGO,24,929.99,0.14,944.61,30,29,13,0.94,0.00,Travel Light,-0.01
2024-01-10,2,1,Q1,LATAM,Brazil,Marketplace,Apparel,Hoodies,APP-HOO-0009,None,92,3059.00,0.05,692.84,32,97,14,0.96,0.65,Back-to-School,3.42
2024-01-10,2,1,Q1,LATAM,Mexico,Outlet,Footwear,Running,FOO-RUN-0009,None,76,6498.00,0.05,216.97,85,81,11,0.97,0.00,Trail Master,28.95
2024-01-10,2,1,Q1,LATAM,Mexico,Outlet,Accessories,Backpacks,ACC-BAC-0009,None,92,3933.00,0.05,607.88,59,97,12,0.94,0.36,Style Up,5.47
2024-01-11,2,1,Q1,North America,USA,Online,Apparel,Hoodies,APP-HOO-0010,None,60,1995.00,0.05,179.49,88,73,15,0.95,0.00,Back-to-School,10.12
2024-01-11,2,1,Q1,North America,Canada,Marketplace,Footwear,Running,FOO-RUN-0010,None,17,1453.50,0.05,1164.85,85,22,19,0.97,0.00,Trail Master,0.25
2024-01-11,2,1,Q1,North America,USA,Marketplace,Accessories,Caps,ACC-CAP-0010,BOGO,72,2439.01,0.25,704.92,44,77,15,0.92,0.39,Everyday Essentials,2.46
2024-01-11,2,1,Q1,Europe,France,Online,Apparel,T-Shirts,APP-TSH-0010,None,95,3158.75,0.05,523.35,86,109,9,0.92,0.10,Spring Refresh,5.04
2024-01-11,2,1,Q1,Europe,France,Retail,Footwear,Running,FOO-RUN-0010,None,93,7951.50,0.05,949.52,85,98,20,0.94,0.09,City Walks,7.37
2024-01-11,2,1,Q1,Europe,UK,Marketplace,Accessories,Watches,ACC-WAT-0010,Clearance,96,3546.57,0.18,617.35,66,102,14,0.97,0.31,Style Up,4.75
2024-01-11,2,1,Q1,APAC,Japan,Outlet,Apparel,T-Shirts,APP-TSH-0010,None,63,2094.75,0.05,629.99,78,68,14,0.91,0.00,Spring Refresh,2.33
2024-01-11,2,1,Q1,APAC,India,Marketplace,Footwear,Sandals,FOO-SAN-0010,None,61,5215.50,0.05,1105.41,38,67,15,0.95,0.38,City Walks,3.72
2024-01-11,2,1,Q1,APAC,Japan,Online,Accessories,Caps,ACC-CAP-0010,None,88,3762.00,0.05,247.70,33,99,12,0.96,0.62,Travel Light,14.19
2024-01-11,2,1,Q1,LATAM,Mexico,Retail,Apparel,Jackets,APP-JAC-0010,None,55,1828.75,0.05,585.12,63,60,6,0.97,0.00,Back-to-School,2.12
2024-01-11,2,1,Q1,LATAM,Chile,Online,Footwear,Running,FOO-RUN-0010,None,84,7182.00,0.05,562.03,79,89,9,0.93,0.06,City Walks,11.78
2024-01-11,2,1,Q1,LATAM,Mexico,Retail,Accessories,Watches,ACC-WAT-0010,Flash,98,3198.93,0.27,567.64,90,108,7,0.93,0.08,Travel Light,4.64
2024-01-12,2,1,Q1,North America,USA,Outlet,Apparel,Jackets,APP-JAC-0011,BOGO,127,3255.46,0.27,688.83,44,132,10,0.99,0.65,Summer Splash,3.73
2024-01-12,2,1,Q1,North America,USA,Retail,Footwear,Running,FOO-RUN-0011,None,40,3420.00,0.05,240.25,33,47,6,0.96,0.17,City Walks,13.23
2024-01-12,2,1,Q1,North America,USA,Marketplace,Accessories,Caps,ACC-CAP-0011,None,112,4788.00,0.05,961.94,50,132,19,0.90,0.55,Travel Light,3.98
2024-01-12,2,1,Q1,Europe,UK,Retail,Apparel,Jackets,APP-JAC-0011,Loyalty,144,3592.84,0.29,626.89,51,156,20,0.98,0.65,Spring Refresh,4.73
2024-01-12,2,1,Q1,Europe,UK,Marketplace,Footwear,Running,FOO-RUN-0011,None,123,10516.50,0.05,557.15,40,133,11,0.97,0.68,Run Faster,17.88
2024-01-12,2,1,Q1,Europe,UK,Online,Accessories,Backpacks,ACC-BAC-0011,Clearance,112,3358.79,0.33,899.86,36,121,14,0.91,0.68,Everyday Essentials,2.73
2024-01-12,2,1,Q1,APAC,Singapore,Marketplace,Apparel,Hoodies,APP-HOO-0011,Flash,93,2854.87,0.12,1106.93,93,110,16,0.98,0.00,Summer Splash,1.58
2024-01-12,2,1,Q1,APAC,Singapore,Marketplace,Footwear,Sneakers,FOO-SNE-0011,None,71,6070.50,0.05,1194.31,26,76,15,0.98,0.63,City Walks,4.08
2024-01-12,2,1,Q1,APAC,Singapore,Outlet,Accessories,Watches,ACC-WAT-0011,BOGO,29,1080.91,0.17,1022.95,33,34,20,0.94,0.00,Everyday Essentials,0.06
2024-01-12,2,1,Q1,LATAM,Brazil,Online,Apparel,T-Shirts,APP-TSH-0011,None,93,3092.25,0.05,1137.83,57,103,8,0.97,0.39,Spring Refresh,1.72
2024-01-12,2,1,Q1,LATAM,Mexico,Online,Footwear,Running,FOO-RUN-0011,None,105,8977.50,0.05,985.66,33,111,20,0.95,0.69,Run Faster,8.11
2024-01-12,2,1,Q1,LATAM,Mexico,Retail,Accessories,Watches,ACC-WAT-0011,Clearance,92,3724.38,0.10,526.93,40,101,7,0.95,0.56,Travel Light,6.07
2024-01-13,2,1,Q1,North America,Canada,Online,Apparel,T-Shirts,APP-TSH-0012,None,26,864.50,0.05,821.10,42,32,5,0.93,0.00,Spring Refresh,0.05
2024-01-13,2,1,Q1,North America,USA,Retail,Footwear,Running,FOO-RUN-0012,Clearance,147,9982.35,0.25,946.95,47,152,15,0.97,0.68,Run Faster,9.54
2024-01-13,2,1,Q1,North America,Canada,Marketplace,Accessories,Watches,ACC-WAT-0012,Loyalty,124,4767.72,0.15,300.25,98,142,19,0.90,0.21,Everyday Essentials,14.88
2024-01-13,2,1,Q1,Europe,UK,Retail,Apparel,T-Shirts,APP-TSH-0012,Flash,73,1970.30,0.23,1188.69,42,79,6,0.97,0.42,Spring Refresh,0.66
2024-01-13,2,1,Q1,Europe,Germany,Outlet,Footwear,Running,FOO-RUN-0012,Flash,128,9412.06,0.18,289.45,81,133,17,0.97,0.37,Trail Master,31.52
2024-01-13,2,1,Q1,Europe,Spain,Retail,Accessories,Backpacks,ACC-BAC-0012,None,69,2949.75,0.05,1121.28,76,74,7,0.96,0.00,Everyday Essentials,1.63
2024-01-13,2,1,Q1,APAC,Japan,Retail,Apparel,Hoodies,APP-HOO-0012,None,34,1130.50,0.05,243.27,44,39,19,0.95,0.00,Summer Splash,3.65
